Distanța (km),Nivel trafic,Ora livrării,Ziua săptămânii,Tip vehicul,Grad de încărcare,Durata estimată (min)
26.38,4.0,15.84,Miercuri,Scuter,0.66,105
21.66,2.0,17.81,Sâmbătă,Bicicletă,0.66,124
1.76,3.0,10.62,Miercuri,Scuter,0.23,14
5.84,1.0,9.52,Joi,Scuter,0.59,10
2.06,3.0,21.58,Marți,Bicicletă,0.45,8
32.0,3.0,16.26,Joi,Bicicletă,0.5,211
16.06,3.0,21.72,Miercuri,Scuter,0.57,53
25.67,3.0,12.07,Miercuri,Bicicletă,0.22,166
45.42,3.0,17.55,Duminică,Bicicletă,0.42,296
12.84,2.0,10.34,Marți,Scuter,0.16,28
20.81,3.0,10.92,Luni,Dubiță,0.98,43
37.9,1.0,14.68,Marți,Bicicletă,0.21,162
11.83,4.0,11.79,Luni,Bicicletă,0.33,104
4.31,5.0,9.51,Sâmbătă,Camion,0.9,28
14.84,5.0,10.94,Miercuri,Dubiță,0.53,61
8.48,5.0,7.54,Duminică,Bicicletă,0.22,115
46.52,4.0,17.57,Vineri,Scuter,0.45,194
40.5,,14.38,Vineri,Camion,0.2,130
31.85,2.0,8.41,Joi,Camion,0.28,51
43.64,4.0,9.58,Marți,Camion,0.15,131
40.28,3.0,8.54,Marți,Bicicletă,0.49,273
9.74,3.0,16.19,Vineri,Scuter,0.83,38
44.68,4.0,8.41,Luni,Camion,0.63,148
27.2,2.0,18.31,Marți,Dubiță,0.65,47
40.47,3.0,7.31,Luni,Camion,0.28,97
44.86,5.0,10.74,Luni,Camion,0.41,221
16.24,1.0,20.36,Luni,Dubiță,0.86,32
5.95,3.0,17.78,Luni,Camion,0.18,12
11.78,,8.09,Duminică,Camion,0.87,54
21.64,,19.32,Joi,Dubiță,0.54,65
40.99,3.0,14.4,Joi,Bicicletă,0.85,285
43.11,2.0,19.7,Duminică,Dubiță,0.39,68
0.84,3.0,16.01,Vineri,Bicicletă,0.4,7
25.78,5.0,17.23,Joi,Bicicletă,0.78,357
21.16,3.0,21.9,Sâmbătă,Bicicletă,0.81,149
11.49,3.0,10.49,Duminică,Dubiță,0.31,20
6.43,1.0,16.36,Marți,Dubiță,0.98,13
17.21,1.0,13.9,Sâmbătă,Bicicletă,0.18,65
47.17,5.0,7.59,Duminică,Dubiță,0.16,191
16.5,3.0,7.22,Joi,Bicicletă,0.64,110
26.18,4.0,8.79,Marți,Dubiță,0.75,89
35.3,1.0,16.74,Marți,Scuter,0.96,88
18.5,4.0,15.51,Luni,Dubiță,0.46,59
48.6,5.0,15.3,Vineri,Dubiță,0.12,206
48.14,3.0,7.48,Luni,Dubiță,0.64,127
12.96,2.0,14.04,Duminică,Bicicletă,0.36,67
25.11,3.0,20.87,Luni,Bicicletă,0.49,173
15.39,4.0,12.96,Sâmbătă,Scuter,0.54,73
14.6,3.0,16.37,Joi,Scuter,0.16,50
2.33,5.0,18.7,Sâmbătă,Camion,0.54,20
30.67,4.0,18.76,Joi,Scuter,0.48,132
25.38,,14.79,Sâmbătă,Bicicletă,0.74,347
3.05,4.0,19.87,Marți,Scuter,0.68,15
14.29,2.0,12.87,Joi,Scuter,0.27,35
45.46,3.0,20.33,Joi,Dubiță,0.29,98
12.36,2.0,10.6,Sâmbătă,Scuter,0.33,39
7.67,5.0,11.2,Miercuri,Camion,0.26,34
24.73,4.0,7.8,Marți,Dubiță,0.69,74
49.29,,18.93,Duminică,Bicicletă,0.99,473
12.48,3.0,13.26,Marți,Camion,0.69,31
33.77,2.0,10.44,Duminică,Bicicletă,0.65,174
38.2,4.0,10.48,Miercuri,Camion,0.47,122
12.26,3.0,20.52,Sâmbătă,Dubiță,0.38,30
36.55,2.0,19.51,Sâmbătă,Camion,0.92,85
18.71,4.0,15.3,Marți,Camion,0.97,61
31.8,1.0,16.24,Sâmbătă,Scuter,0.55,65
31.86,,14.11,Vineri,Bicicletă,0.36,205
27.02,3.0,12.87,Vineri,Dubiță,0.79,52
4.97,2.0,20.73,Duminică,Camion,0.22,7
41.85,5.0,8.88,Miercuri,Bicicletă,0.79,573
16.38,2.0,13.28,Joi,Bicicletă,0.84,99
9.73,2.0,12.17,Vineri,Scuter,0.21,20
2.52,2.0,14.47,Duminică,Bicicletă,0.98,23
29.75,4.0,13.86,Sâmbătă,Dubiță,0.99,101
34.04,3.0,14.78,Miercuri,Scuter,0.94,118
1.32,3.0,9.1,Duminică,Camion,0.55,5
25.85,1.0,14.7,Duminică,Dubiță,0.32,36
11.71,1.0,10.64,Vineri,Dubiță,0.62,17
32.44,3.0,9.76,Luni,Dubiță,0.48,73
9.13,4.0,7.97,Miercuri,Scuter,0.29,35
34.7,5.0,18.44,Marți,Bicicletă,0.48,460
19.64,1.0,13.41,Duminică,Dubiță,0.7,31
46.87,3.0,16.4,Vineri,Bicicletă,0.16,289
7.31,5.0,17.91,Marți,Bicicletă,0.4,91
17.38,3.0,17.19,Miercuri,Dubiță,0.12,35
6.12,4.0,14.06,Vineri,Bicicletă,0.77,52
46.27,2.0,12.82,Marți,Scuter,0.68,126
43.93,5.0,12.64,Joi,Scuter,0.16,272
13.27,4.0,16.6,Duminică,Camion,0.97,49
33.17,5.0,14.42,Joi,Bicicletă,0.12,416
40.95,4.0,19.74,Luni,Bicicletă,0.63,368
27.98,3.0,20.12,Sâmbătă,Camion,0.8,78
26.72,5.0,9.56,Miercuri,Scuter,0.81,187
12.47,,9.04,Sâmbătă,Camion,0.13,22
5.11,3.0,16.46,Sâmbătă,Camion,0.92,13
44.91,4.0,11.52,Marți,Camion,0.93,159
45.07,4.0,7.28,Luni,Bicicletă,0.61,406
31.84,5.0,20.33,Miercuri,Bicicletă,0.53,418
17.28,2.0,10.4,Joi,Bicicletă,0.14,78
17.79,4.0,20.94,Sâmbătă,Bicicletă,0.61,163
36.43,4.0,17.76,Marți,Dubiță,0.47,111
44.91,1.0,18.44,Sâmbătă,Camion,0.8,82
44.41,3.0,10.02,Vineri,Camion,0.46,110
39.1,2.0,10.51,Joi,Bicicletă,0.72,219
32.28,3.0,14.82,Sâmbătă,Scuter,0.19,104
4.66,5.0,9.58,Vineri,Dubiță,0.22,23
8.5,4.0,11.58,Vineri,Dubiță,0.23,19
44.98,4.0,11.82,Marți,Scuter,0.14,179
30.52,5.0,9.39,Marți,Bicicletă,0.59,408
0.96,3.0,10.08,Vineri,Dubiță,0.81,5
5.52,4.0,18.83,Luni,Dubiță,0.65,15
33.34,3.0,9.51,Sâmbătă,Camion,0.62,75
0.75,,7.43,Vineri,Camion,0.71,12
8.46,,16.44,Vineri,Bicicletă,0.41,43
27.66,5.0,21.64,Marți,Bicicletă,0.43,361
34.75,2.0,11.97,Sâmbătă,Camion,0.38,74
32.77,3.0,8.78,Miercuri,Camion,0.74,73
11.6,4.0,15.56,Joi,Camion,0.25,34
35.75,3.0,20.6,Marți,Scuter,0.11,108
12.24,4.0,18.76,Sâmbătă,Dubiță,0.64,35
16.61,3.0,16.34,Sâmbătă,Bicicletă,0.95,118
37.45,4.0,11.73,Duminică,Bicicletă,0.65,346
32.66,2.0,15.13,Luni,Scuter,0.8,94
42.54,1.0,8.37,Joi,Camion,0.71,78
33.05,2.0,17.18,Marți,Dubiță,0.55,59
28.63,3.0,17.88,Marți,Camion,0.75,67
5.14,2.0,21.48,Miercuri,Bicicletă,0.84,18
18.7,3.0,10.91,Duminică,Scuter,0.3,52
13.63,3.0,7.28,Duminică,Dubiță,0.4,31
12.58,1.0,15.18,Luni,Dubiță,0.3,18
48.66,,17.6,Duminică,Dubiță,0.51,106
19.96,5.0,18.86,Luni,Dubiță,0.9,92
44.66,2.0,9.91,Sâmbătă,Scuter,0.41,126
31.74,3.0,10.93,Sâmbătă,Bicicletă,0.44,203
39.84,4.0,14.69,Marți,Dubiță,0.87,129
25.38,3.0,11.96,Miercuri,Dubiță,0.56,56
29.06,4.0,19.91,Marți,Bicicletă,0.58,259
24.88,3.0,14.11,Duminică,Camion,0.87,72
10.16,3.0,18.99,Vineri,Dubiță,0.54,30
36.26,1.0,15.71,Sâmbătă,Dubiță,0.71,54
14.4,4.0,18.6,Vineri,Camion,0.18,49
1.7,4.0,11.99,Duminică,Bicicletă,0.26,16
32.45,1.0,19.47,Miercuri,Bicicletă,0.46,142
9.27,3.0,11.12,Marți,Dubiță,0.55,22
47.05,5.0,15.19,Sâmbătă,Bicicletă,0.97,671
47.72,3.0,10.21,Miercuri,Camion,0.97,127
45.79,3.0,14.13,Marți,Scuter,0.87,158
18.82,,11.77,Marți,Camion,0.38,96
1.27,4.0,11.0,Vineri,Camion,0.97,5
46.45,3.0,21.5,Joi,Scuter,0.72,153
21.7,4.0,9.4,Duminică,Camion,0.45,67
48.35,5.0,18.81,Luni,Dubiță,0.73,206
48.2,3.0,21.76,Sâmbătă,Dubiță,0.11,96
42.72,3.0,7.3,Luni,Bicicletă,0.23,268
15.08,3.0,17.49,Miercuri,Bicicletă,0.85,105
19.56,5.0,10.79,Luni,Camion,0.68,110
42.63,4.0,7.61,Vineri,Dubiță,0.43,126
16.19,1.0,13.04,Joi,Dubiță,0.55,27
8.89,5.0,21.03,Sâmbătă,Scuter,0.91,55
28.06,3.0,7.18,Duminică,Bicicletă,0.67,189
46.84,1.0,15.82,Marți,Dubiță,0.46,66
34.95,3.0,14.52,Marți,Camion,0.21,78
28.72,3.0,20.1,Duminică,Dubiță,0.36,58
5.31,5.0,8.26,Vineri,Bicicletă,0.98,67
30.94,2.0,17.22,Sâmbătă,Camion,0.49,55
49.51,4.0,17.2,Luni,Bicicletă,0.52,442
7.43,3.0,17.04,Duminică,Dubiță,0.55,16
26.16,1.0,21.14,Marți,Dubiță,0.9,39
43.93,5.0,19.35,Luni,Dubiță,0.64,198
37.17,3.0,7.63,Vineri,Bicicletă,0.72,261
35.0,2.0,14.07,Marți,Camion,0.45,69
35.27,3.0,12.97,Miercuri,Dubiță,0.13,75
18.29,5.0,11.65,Joi,Dubiță,0.94,83
15.03,3.0,13.77,Luni,Dubiță,0.95,33
40.56,2.0,12.76,Duminică,Scuter,0.95,118
40.6,2.0,13.49,Sâmbătă,Scuter,0.95,125
43.42,,21.69,Luni,Camion,0.83,98
45.71,4.0,8.33,Luni,Bicicletă,0.72,421
25.81,3.0,20.83,Luni,Dubiță,0.86,61
25.33,2.0,14.2,Duminică,Dubiță,0.64,53
40.02,2.0,16.36,Vineri,Bicicletă,0.22,205
32.67,3.0,19.45,Vineri,Bicicletă,0.45,202
35.25,5.0,12.41,Sâmbătă,Camion,0.97,184
39.89,3.0,13.46,Vineri,Bicicletă,0.42,261
150.0,5.0,13.14,Duminică,Dubiță,0.88,201
17.23,3.0,12.62,Sâmbătă,Camion,0.18,36
19.09,2.0,20.88,Sâmbătă,Scuter,0.4,46
5.15,5.0,19.43,Vineri,Camion,0.42,24
29.12,3.0,8.63,Marți,Camion,0.15,66
2.28,4.0,8.62,Vineri,Camion,0.21,6
23.55,5.0,13.42,Marți,Bicicletă,0.27,302
27.36,1.0,8.48,Miercuri,Dubiță,0.85,41
14.68,,16.29,Vineri,Bicicletă,0.16,59
29.75,4.0,9.16,Miercuri,Dubiță,0.37,78
2.01,2.0,14.84,Vineri,Bicicletă,0.11,15
2.35,2.0,7.11,Miercuri,Camion,0.73,5
41.22,1.0,11.75,Joi,Dubiță,0.66,57
18.33,1.0,17.16,Miercuri,Bicicletă,0.68,84
6.79,4.0,14.26,Marți,Camion,0.44,18
26.35,2.0,21.67,Luni,Scuter,0.29,64
38.61,,20.11,Sâmbătă,Bicicletă,0.75,268
11.18,4.0,12.39,Miercuri,Bicicletă,0.83,103
31.33,3.0,7.68,Luni,Scuter,0.22,110
4.72,1.0,19.68,Duminică,Bicicletă,0.54,21
3.06,4.0,20.67,Joi,Scuter,0.32,16
26.8,1.0,19.31,Joi,Dubiță,0.25,28
27.26,4.0,8.92,Duminică,Scuter,0.76,121
32.05,5.0,21.97,Duminică,Camion,0.58,156
36.44,3.0,10.88,Duminică,Scuter,0.29,111
48.8,3.0,17.86,Marți,Dubiță,0.38,107
26.06,3.0,20.62,Duminică,Scuter,0.97,99
16.49,3.0,10.54,Marți,Scuter,0.86,60
39.86,5.0,20.62,Miercuri,Dubiță,0.89,187
13.91,5.0,11.64,Vineri,Bicicletă,0.51,181
22.23,3.0,21.65,Duminică,Bicicletă,0.66,157
4.38,4.0,11.22,Duminică,Camion,0.44,25
1.75,5.0,21.3,Joi,Camion,0.17,9
48.15,5.0,7.8,Luni,Scuter,0.46,320
41.88,3.0,17.64,Vineri,Bicicletă,0.63,285
34.95,3.0,14.98,Joi,Bicicletă,0.36,229
20.74,2.0,14.17,Miercuri,Scuter,0.86,53
9.08,5.0,10.35,Duminică,Dubiță,0.24,36
8.24,2.0,17.58,Joi,Bicicletă,0.43,45
12.89,3.0,9.86,Marți,Camion,0.21,36
27.69,2.0,15.29,Luni,Scuter,0.46,68
35.87,2.0,10.8,Luni,Dubiță,0.14,49
33.18,3.0,21.33,Marți,Camion,0.35,77
14.36,5.0,7.43,Duminică,Bicicletă,0.46,193
47.77,1.0,10.0,Duminică,Dubiță,0.53,63
37.03,3.0,10.63,Vineri,Camion,0.59,87
27.94,1.0,13.21,Marți,Scuter,0.35,61
30.78,,10.49,Duminică,Dubiță,0.57,54
21.27,3.0,14.37,Luni,Dubiță,0.56,50
12.76,3.0,20.09,Duminică,Scuter,0.38,35
18.12,2.0,17.68,Miercuri,Bicicletă,0.85,100
38.01,3.0,15.7,Duminică,Bicicletă,0.59,261
1.21,1.0,8.34,Vineri,Dubiță,0.4,5
6.25,3.0,17.41,Sâmbătă,Dubiță,0.95,22
2.78,5.0,9.5,Joi,Dubiță,0.86,8
2.52,5.0,18.8,Sâmbătă,Camion,0.98,18
42.85,3.0,10.75,Miercuri,Dubiță,0.72,96
35.33,3.0,13.26,Sâmbătă,Bicicletă,0.44,225
23.97,5.0,12.26,Duminică,Scuter,0.35,151
5.34,1.0,19.88,Vineri,Scuter,0.7,15
24.83,4.0,8.9,Luni,Scuter,0.98,119
23.94,5.0,15.48,Luni,Dubiță,0.66,114
9.07,1.0,9.13,Miercuri,Dubiță,0.89,21
21.98,2.0,17.57,Sâmbătă,Scuter,0.4,51
20.23,5.0,20.58,Vineri,Camion,0.47,93
30.98,3.0,13.52,Joi,Camion,0.92,76
31.94,1.0,14.32,Duminică,Camion,0.78,51
2.74,2.0,20.91,Sâmbătă,Camion,0.98,11
19.04,3.0,14.81,Sâmbătă,Bicicletă,0.8,135
31.48,4.0,14.31,Joi,Scuter,0.5,136
25.41,4.0,15.67,Marți,Bicicletă,0.58,227
42.9,5.0,17.34,Duminică,Dubiță,0.91,210
33.11,2.0,8.6,Miercuri,Camion,0.6,76
8.57,3.0,19.32,Duminică,Camion,0.33,22
3.99,3.0,13.53,Vineri,Scuter,0.49,5
32.3,3.0,8.09,Miercuri,Camion,0.56,82
1.81,2.0,18.79,Joi,Scuter,0.19,9
29.5,5.0,12.65,Vineri,Dubiță,0.77,137
47.04,5.0,8.51,Luni,Camion,0.2,224
28.99,3.0,16.51,Luni,Camion,0.46,73
19.71,4.0,20.2,Duminică,Bicicletă,0.82,177
32.34,2.0,20.32,Vineri,Scuter,0.52,81
23.18,3.0,21.36,Miercuri,Scuter,0.86,80
27.51,4.0,20.02,Miercuri,Camion,0.41,95
47.1,3.0,7.03,Luni,Bicicletă,0.96,333
19.61,5.0,12.7,Luni,Camion,0.29,96
48.08,4.0,19.28,Joi,Scuter,0.13,199
45.31,,12.49,Vineri,Scuter,0.89,168
10.19,4.0,16.02,Miercuri,Camion,0.78,35
3.93,2.0,16.09,Joi,Dubiță,0.31,5
5.49,3.0,12.48,Miercuri,Camion,0.99,18
1.4,,20.57,Luni,Bicicletă,0.55,20
5.17,3.0,14.55,Vineri,Scuter,0.96,22
34.31,4.0,13.97,Marți,Scuter,0.55,148
4.02,3.0,21.96,Vineri,Camion,0.52,5
16.29,4.0,14.4,Sâmbătă,Dubiță,0.5,43
42.32,3.0,9.68,Marți,Scuter,0.4,147
1.65,3.0,14.7,Duminică,Camion,0.58,5
40.82,4.0,19.21,Duminică,Dubiță,0.51,117
14.45,2.0,18.65,Joi,Camion,0.13,26
6.35,2.0,18.83,Marți,Camion,0.33,11
34.99,3.0,17.62,Marți,Camion,0.29,91
31.63,,10.81,Joi,Scuter,0.88,84
43.93,1.0,19.93,Vineri,Dubiță,0.64,72
36.89,4.0,20.4,Joi,Bicicletă,0.79,342
40.27,3.0,9.91,Sâmbătă,Bicicletă,0.96,294
14.46,3.0,8.96,Luni,Scuter,0.68,57
9.28,5.0,21.63,Duminică,Scuter,0.98,67
37.66,3.0,20.02,Luni,Camion,0.38,90
40.44,5.0,20.4,Duminică,Camion,0.27,192
49.53,2.0,20.3,Marți,Dubiță,0.46,86
20.92,3.0,15.13,Joi,Camion,0.52,44
18.91,5.0,16.7,Joi,Dubiță,0.91,97
38.93,3.0,15.18,Joi,Camion,0.6,99
17.37,4.0,7.77,Sâmbătă,Camion,0.36,50
46.57,3.0,18.18,Sâmbătă,Bicicletă,0.77,312
42.99,1.0,14.58,Vineri,Scuter,0.56,84
21.74,3.0,16.72,Miercuri,Dubiță,0.25,50
37.67,3.0,14.54,Duminică,Bicicletă,0.62,251
37.85,5.0,14.38,Miercuri,Camion,0.92,199
5.6,2.0,9.58,Miercuri,Bicicletă,0.86,34
45.18,,11.18,Duminică,Dubiță,0.63,201
25.51,5.0,9.38,Vineri,Scuter,0.44,169
41.41,2.0,9.93,Joi,Bicicletă,0.18,206
16.34,3.0,21.59,Miercuri,Dubiță,0.52,36
44.83,5.0,9.3,Joi,Camion,0.78,225
19.77,5.0,11.04,Marți,Bicicletă,0.42,253
1.04,3.0,15.86,Miercuri,Scuter,0.31,6
45.32,3.0,16.15,Marți,Dubiță,0.94,104
5.02,3.0,9.31,Vineri,Scuter,0.84,24
16.31,4.0,18.91,Luni,Camion,0.67,67
47.53,2.0,18.78,Sâmbătă,Scuter,0.22,122
47.56,4.0,10.56,Duminică,Camion,0.23,157
28.89,1.0,11.33,Vineri,Camion,0.19,49
31.78,1.0,21.07,Vineri,Bicicletă,0.65,141
22.7,3.0,19.39,Vineri,Camion,0.2,54
15.01,3.0,17.47,Miercuri,Scuter,0.86,63
16.77,3.0,8.23,Marți,Bicicletă,0.99,118
33.79,3.0,13.27,Sâmbătă,Camion,0.43,77
37.74,3.0,15.39,Miercuri,Dubiță,0.51,78
39.68,2.0,9.81,Luni,Dubiță,0.74,72
39.59,3.0,13.72,Duminică,Camion,0.94,101
5.01,5.0,16.02,Duminică,Bicicletă,0.9,79
24.97,3.0,11.91,Sâmbătă,Bicicletă,0.15,155
3.35,3.0,18.71,Duminică,Bicicletă,0.25,26
27.7,3.0,19.61,Duminică,Scuter,0.78,95
22.36,5.0,11.85,Vineri,Dubiță,0.72,97
44.44,2.0,19.58,Joi,Camion,0.22,77
17.87,4.0,8.55,Luni,Camion,0.55,55
6.29,4.0,19.57,Marți,Dubiță,0.8,21
7.58,4.0,9.29,Luni,Scuter,0.3,35
38.19,1.0,8.24,Miercuri,Bicicletă,0.88,183
31.1,4.0,16.63,Duminică,Dubiță,0.15,78
5.51,1.0,14.08,Joi,Camion,0.8,10
4.66,3.0,20.62,Miercuri,Scuter,0.65,11
35.2,4.0,12.45,Sâmbătă,Camion,0.38,116
4.1,2.0,11.31,Vineri,Bicicletă,0.75,25
41.18,4.0,14.51,Duminică,Dubiță,0.8,122
35.46,1.0,13.84,Vineri,Bicicletă,0.94,173
4.53,4.0,12.17,Luni,Scuter,0.43,31
4.7,3.0,17.41,Vineri,Dubiță,0.72,15
49.34,2.0,18.39,Vineri,Bicicletă,0.64,266
19.03,2.0,19.79,Sâmbătă,Bicicletă,0.57,100
18.85,5.0,21.59,Marți,Bicicletă,0.9,266
40.73,1.0,11.0,Marți,Scuter,0.1,79
47.39,2.0,17.74,Miercuri,Bicicletă,0.35,245
49.31,3.0,12.91,Duminică,Camion,0.58,118
37.79,4.0,17.16,Miercuri,Dubiță,0.26,97
19.12,,14.14,Marți,Dubiță,0.92,46
4.63,2.0,21.91,Luni,Bicicletă,0.68,25
38.97,2.0,17.93,Marți,Scuter,0.53,101
28.14,2.0,21.29,Miercuri,Camion,0.83,53
21.5,2.0,19.52,Joi,Camion,0.51,44
45.36,3.0,20.54,Duminică,Dubiță,0.6,97
6.0,4.0,19.22,Vineri,Dubiță,0.1,16
24.88,2.0,13.89,Sâmbătă,Camion,0.43,57
1.06,3.0,10.78,Joi,Dubiță,0.22,5
23.7,3.0,12.55,Joi,Bicicletă,0.72,156
3.29,5.0,7.3,Vineri,Camion,0.53,10
6.38,5.0,14.86,Marți,Dubiță,0.37,28
6.32,4.0,14.58,Duminică,Bicicletă,0.52,49
32.64,2.0,14.88,Luni,Bicicletă,0.29,156
37.43,,21.61,Joi,Camion,0.93,69
29.38,3.0,20.67,Luni,Bicicletă,0.15,183
48.13,2.0,9.43,Sâmbătă,Camion,0.88,104
19.06,,12.53,Sâmbătă,Bicicletă,0.56,128
14.64,4.0,13.36,Sâmbătă,Camion,0.66,49
43.5,5.0,12.41,Miercuri,Camion,0.37,207
11.57,4.0,18.98,Joi,Camion,0.97,44
48.18,,14.86,Sâmbătă,Camion,0.35,124
1.1,4.0,15.58,Miercuri,Bicicletă,0.63,7
48.51,3.0,19.8,Sâmbătă,Camion,0.99,126
2.64,1.0,19.09,Marți,Dubiță,0.89,5
44.61,,8.98,Joi,Bicicletă,0.58,394
26.62,1.0,17.71,Miercuri,Camion,0.99,49
49.65,3.0,13.53,Sâmbătă,Bicicletă,0.73,331
4.15,3.0,11.42,Duminică,Bicicletă,0.29,29
27.92,4.0,7.75,Miercuri,Bicicletă,0.47,248
48.48,4.0,14.31,Sâmbătă,Bicicletă,0.4,410
26.39,3.0,12.33,Marți,Camion,0.41,59
31.66,4.0,10.77,Luni,Bicicletă,0.78,293
34.94,2.0,17.42,Sâmbătă,Dubiță,0.63,62
23.0,3.0,18.54,Luni,Bicicletă,0.13,144
31.56,4.0,10.67,Joi,Bicicletă,0.89,297
29.42,4.0,7.74,Marți,Dubiță,0.37,91
45.11,5.0,19.73,Duminică,Camion,1.0,242
2.75,2.0,7.15,Joi,Dubiță,0.96,5
